Point Name,X,Y,Z,LAT
P289,-20.2853,23.1296,138.722,-189
P290,-27.8284,22.246,131.793,-176
P291,3.14239,22.0812,159.262,16
P292,-7.45336,26.1766,152.477,24
P293,-15.9159,28.3411,146.669,-155
P294,-24.245,29.8271,140.462,-163
P295,-32.3429,30.7275,133.847,-165
P296,36.287,16.5639,184.887,-7
P297,24.429,19.9264,180.053,-7
P298,15.1049,21.9201,175.672,4
P299,5.8674,23.2984,170.888,4
P300,-3.1072,24.3242,165.546,3
P301,38.786,17.2186,191.429,-13
P302,27.6819,20.6653,185.081,-4
P303,19.1018,22.9936,179.509,-6
P304,10.6761,24.6003,173.468,4
P305,2.31029,25.4526,167.189,18
P306,34.1889,21.1749,189.293,-10000
P307,23.4695,24.6153,182.311,-3
P308,15.1601,26.8637,176.321,-4
P309,7.47885,28.4384,169.376,5
P310,0.625751,29.2786,161.489,19
P311,35.0463,22.043,189.015,-10000
P312,24.2924,25.3585,182.024,-3
P313,15.9091,27.6019,176.13,-4
P314,8.09144,29.2628,169.354,6
P315,1.06623,30.2558,161.638,19
P316,37.6933,20.3458,189.905,-13
P317,26.8545,23.3736,182.915,-2
P318,18.427,25.4342,177.012,-3
P319,10.4649,27.0416,170.381,6
P320,3.08438,28.0397,162.997,20
P321,36.856,18.5483,191.898,-12
P322,26.3221,22.1516,184.717,-5
P323,18.0436,24.5418,178.73,-6
P324,10.0818,26.2131,172.116,4
P325,2.64316,27.119,164.78,18
P326,32.5521,22.7691,189.957,-10000
P327,22.0094,26.0621,182.64,-3
P328,13.8105,28.3463,176.506,-4
P329,6.10891,29.9464,169.582,6
P330,-0.866757,30.8014,161.803,19
P331,34.608,23.8321,189.382,-9
P332,23.8117,26.9313,182.357,-2
P333,15.4039,29.0559,176.457,-3
P334,7.61353,30.5849,169.621,6
P335,0.592605,31.4569,161.882,19
P336,35.7467,21.3547,190.592,-13
P337,25.1771,24.7028,183.339,-2
P338,16.896,26.9651,177.306,-3
P339,8.9956,28.5443,170.599,6
P340,1.66286,29.3252,163.144,19
P341,32.3852,22.2689,191.193,-6
P342,21.8099,25.7464,184.01,-3
P343,13.5636,28.1912,178.005,-5
P344,5.82362,29.9202,171.156,5
P345,-1.31463,30.8238,163.526,18
P346,30.8819,19.0517,190.91,-10000
P347,20.8047,22.6104,183.08,-4
P348,12.9971,25.0707,176.518,-5
P349,5.67165,26.8607,169.234,5
P350,-1.21022,27.8744,161.381,18
P351,38.8004,14.6226,192.98,-11
P352,27.4981,16.588,186.383,-7
P353,18.655,17.7497,180.859,-8
P354,10.454,19.504,174.574,1
P355,3.02677,21.8651,167.556,10
P356,41.1735,13.2297,195.458,-2
P357,29.945,15.6025,188.849,1
P358,21.4092,17.3366,182.995,-9
P359,13.1848,19.0797,176.709,-1
P360,5.2147,20.5512,170.04,9
P361,35.8811,15.7519,196.358,-9
P362,24.8774,18.1999,189.404,-7
P363,16.4948,20.0106,183.355,-9
P364,8.38188,21.5012,176.865,1
P365,0.507159,22.6511,170.018,10
P366,31.7814,19.2499,194.187,-6
P367,20.9309,21.724,187.004,-6
P368,12.4459,23.3683,181.05,-8
P369,4.41517,24.6594,174.431,2
P370,-3.03647,25.3849,167.083,11
P371,31.6849,20.8623,191.669,-8
P372,21.0684,23.604,184.236,-3
P373,12.8106,25.3693,178.011,-5
P374,5.12753,26.596,170.988,5
P375,-1.8503,27.1877,163.179,19
P376,34.4745,23.4719,190.132,-5
P377,23.6488,25.581,182.796,-3
P378,15.1094,26.8382,176.827,-5
P379,7.10304,27.8203,170.132,5
P380,-0.0531973,28.4473,162.497,18
P381,34.9647,20.6146,190.724,-11
P382,24.1691,23.2875,183.535,1
P383,15.5749,24.6269,177.667,0
P384,7.22251,25.1915,171.35,9
P385,-0.610727,25.046,164.377,24
P386,30.198,23.0528,190.494,-9
P387,19.3415,24.9974,183.173,-2
P388,10.8348,25.8109,177.09,0
P389,2.86988,26.0061,170.272,9
P390,-4.59067,25.6295,162.902,20
P391,30.2701,23.82,189.455,-11
P392,19.8778,25.9484,181.526,-4
P393,11.7296,26.9132,174.989,-2
P394,3.97401,27.0891,167.933,8
P395,-3.23297,26.5422,160.33,19
P396,34.0324,23.1284,189.301,-10
P397,23.4813,25.1239,181.55,2
P398,15.1346,26.0682,175.258,2
P399,7.00066,26.3116,168.638,11
P400,-0.734279,25.776,161.573,24
P401,32.453,22.2461,191.9,-11
P402,22.0436,24.5723,184.047,-3
P403,13.8189,25.7191,177.635,-3
P404,5.88417,26.0327,170.784,7
P405,-1.66933,25.5701,163.516,19
P406,29.4516,24.6156,191.162,-12
P407,19.0107,26.727,183.291,-5
P408,10.8282,27.8425,176.824,-2
P409,3.25825,28.2366,169.588,7
P410,-3.63683,27.7973,161.697,18
P411,28.726,25.6657,188.63,-10
P412,18.8504,27.8193,180.069,-9
P413,11.1511,28.8896,173.022,1
P414,3.75029,29.0954,165.597,10
P415,-3.14438,28.3767,157.726,30
P416,28.8341,27.3097,187.247,-9
P417,18.4226,29.2614,179.294,-7
P418,10.2664,30.2187,172.772,3
P419,2.78777,30.3634,165.439,17
P420,-3.86935,29.577,157.381,32
P421,28.8541,26.1005,187.197,-5
P422,17.9091,28.4079,180.117,-3
P423,9.28027,29.6289,174.29,6
P424,1.41669,30.1442,167.395,20
P425,-5.62372,29.7938,159.637,35
P426,27.4967,26.6139,186.834,-7
P427,16.8441,28.7895,179.272,-6
P428,8.42323,30.149,173.165,4
P429,0.607195,30.9013,166.224,18
P430,-6.56667,30.8962,158.573,32
P431,28.2728,27.6625,186.252,-7
P432,17.6699,29.7436,178.591,-5
P433,9.27209,31.0841,172.447,5
P434,1.50153,31.9011,165.463,19
P435,-5.53063,32.075,157.685,33
P436,30.9694,26.5515,186.744,-8
P437,20.6604,28.4504,178.642,1
P438,12.499,29.5471,172.134,4
P439,4.66403,30.1512,165.185,17
P440,-2.62768,30.1244,157.645,32
P441,31.9889,23.3761,188.788,-8
P442,22.0712,25.5018,180.269,0
P443,14.2724,26.767,173.356,2
P444,6.53931,27.5436,166.304,15
P445,-0.975119,27.6683,158.979,23
P446,8.03359,6.02102,151.518,21
P447,2.26738,16.8681,156.076,19
P448,-4.88202,24.2216,157.395,20
P449,-13.804,29.1856,156.056,33
P450,-23.1766,30.952,152.131,-163
P451,7.21053,4.6132,151.832,23
P452,2.15262,15.1411,157.703,19
P453,-4.74007,22.4628,160.16,20
P454,-13.5746,27.8077,160.102,-10000
P455,-23.2199,30.3937,157.452,40
P456,7.41882,5.62521,149.683,24
P457,2.70109,16.426,155.326,20
P458,-4.01814,23.9753,157.452,21
P459,-12.8438,29.2414,156.924,-10000
P460,-22.4598,31.3128,153.826,-162
P461,7.16799,1.70037,150.636,28
P462,3.65308,12.0281,157.765,20
P463,-2.73654,19.319,161.237,22
P464,-11.5894,24.4744,161.86,23
P465,-21.2876,26.6179,159.255,33
P466,5.58655,3.1372,150.583,27
P467,1.64555,13.4032,157.613,20
P468,-4.77402,20.806,160.832,21
P469,-13.4848,26.276,161.157,-10000
P470,-23.1135,28.9164,158.591,32
P471,4.43442,4.8127,149.787,25
P472,0.123928,15.2428,156.303,18
P473,-6.49555,22.7324,158.872,19
P474,-15.2674,28.1589,158.804,-10000
P475,-24.9577,30.6927,156.281,37
P476,4.44851,5.74692,149.485,24
P477,0.154182,16.3233,155.782,18
P478,-6.38804,23.9282,158.224,19
P479,-15.1388,29.3726,158.135,-10000
P480,-24.8656,31.7555,155.634,36
P481,5.90732,5.39457,148.858,25
P482,1.96297,16.0107,155.322,19
P483,-4.45095,23.6663,157.856,19
P484,-13.1837,29.1115,157.661,-10000
P485,-22.8489,31.4869,154.946,37
P486,7.05961,4.71163,148.436,28
P487,3.37508,14.8418,155.776,21
P488,-3.05421,22.1421,159.075,21
P489,-11.966,27.2116,159.173,-10000
P490,-21.6898,29.1486,156.383,34
P491,7.10418,-1.17583,149.776,29
P492,4.14705,8.5861,157.855,20
P493,-1.91288,15.7893,162.019,20
P494,-10.5943,21.1245,163.158,23
P495,-20.3249,23.4763,160.957,30
P496,4.04205,-1.51884,150.375,30
P497,1.41662,8.33534,158.504,21
P498,-4.37065,15.6607,162.847,20
P499,-12.871,21.2473,164.311,-10000
P500,-22.611,24.1954,162.683,30
P501,3.98372,2.6875,148.393,26
P502,0.72379,13.114,155.493,19
P503,-5.34873,20.8582,158.488,21
P504,-13.8734,26.5966,158.454,-10000
P505,-23.3841,29.3156,155.604,32
P506,5.42139,4.57417,149.985,-67
P507,1.17034,14.4353,157.38,-51
P508,-5.45734,21.6149,160.659,-47
P509,-14.27,26.9341,160.857,53
P510,-23.9045,29.5322,158.212,37
P511,7.35368,0.657292,149.889,30
P512,4.35691,10.5421,157.838,21
P513,-1.67997,17.8851,161.757,22
P514,-10.2444,23.5058,162.419,-10000
P515,-19.7189,26.5137,159.753,34
P516,4.46336,2.85464,148.538,25
P517,1.46221,13.4091,155.593,18
P518,-4.32658,21.3597,158.612,20
P519,-12.6804,27.3279,158.589,-10000
P520,-22.1906,30.1679,155.848,40
P521,5.80938,1.14604,150.055,28
P522,2.96538,11.1757,157.909,20
P523,-2.89573,18.6519,161.841,21
P524,-11.3669,24.3817,162.483,-10000
P525,-20.823,27.2775,159.717,33
P526,5.50478,2.55403,149.316,26
P527,2.30132,13.2061,156.068,19
P528,-3.92181,20.9079,158.799,20
P529,-12.6845,26.2836,158.712,-10000
P530,-22.3806,28.5904,156.061,38
P531,6.4372,5.07638,147.697,26
P532,3.36455,15.5296,154.892,19
P533,-2.54183,23.3084,158.074,20
P534,-11.0952,28.9131,158.059,-10000
P535,-20.6549,31.0486,155.013,41
P536,8.73175,1.8298,148.873,30
P537,6.0007,11.9544,156.595,21
P538,-0.0494894,19.4651,160.033,23
P539,-8.77903,24.8216,160.163,25
P540,-18.3216,27.1929,157.129,35
P541,6.96476,1.02286,149.323,27
P542,4.66492,11.4132,156.832,-10000
P543,-1.10752,19.172,160.176,19
P544,-9.77145,24.5989,160.372,-10000
P545,-19.388,26.7152,157.48,32
P546,5.61688,2.73007,148.871,27
P547,2.79925,13.3154,155.919,19
P548,-3.18819,21.1072,158.836,20
P549,-11.8739,26.528,158.69,-10000
P550,-21.4763,28.5717,155.666,38
P551,5.26596,3.62232,148.518,23
P552,2.13899,14.279,155.314,16
P553,-3.95692,22.1135,157.894,18
P554,-12.6189,27.5626,157.387,-10000
P555,-22.1566,29.6018,154.133,34
P556,9.16914,4.42415,148.709,25
P557,5.99208,15.0538,155.515,19
P558,-0.22963,22.7392,158.24,20
P559,-9.02207,27.9776,157.896,-10000
P560,-18.6478,29.7033,154.778,34
P561,7.66659,3.24473,149.337,27
P562,4.60502,13.7339,156.425,19
P563,-1.44487,21.4668,159.454,19
P564,-10.0559,27.0495,159.462,-10000
P565,-19.6147,29.4984,156.575,33
P566,6.59703,5.16409,149.415,24
P567,3.15824,15.9129,155.934,17
P568,-3.04676,23.6878,158.536,18
P569,-11.78,29.0642,158.311,-10000
P570,-21.4569,31.0514,155.43,37
P571,6.41793,5.34917,149.046,23
P572,3.16253,16.3408,155.256,17
P573,-2.90259,24.3089,157.528,18
P574,-11.5789,29.7009,156.924,30
P575,-21.1673,31.4025,153.665,35
P576,6.88962,6.2447,148.722,23
P577,3.5732,17.1256,155.121,17
P578,-2.5281,25.007,157.538,19
P579,-11.2623,30.254,156.868,31
P580,-20.7943,31.717,153.374,35
P581,9.44123,5.09644,149.384,27
P582,6.60126,16.0912,155.774,21
P583,0.70345,24.1454,158.027,23
P584,-7.94921,29.4622,157.13,-10000
P585,-17.4647,30.7097,153.596,36
P586,7.57788,6.15784,150.04,25
P587,4.0123,17.1212,156.112,19
P588,-2.29282,24.9296,158.285,19
P589,-11.1135,30.0652,157.57,-10000
P590,-20.7403,31.4076,154.276,40
P591,7.22027,6.20034,149.732,24
P592,3.88103,17.4257,155.46,18
P593,-2.23765,25.455,157.293,20
P594,-10.9632,30.7132,156.322,33
P595,-20.5637,32.1697,152.964,-170
P596,7.08287,6.80341,149.458,25
P597,3.61132,18.1397,154.874,19
P598,-2.53327,26.2106,156.492,20
P599,-11.2275,31.5094,155.418,34
P600,-20.7938,32.9796,151.973,-170
P601,10.1434,3.47327,149.399,26
P602,7.75129,14.3374,156.164,20
P603,1.90775,22.333,158.596,22
P604,-6.78338,27.5661,157.689,-10000
P605,-16.1774,28.924,153.854,36
P606,6.99718,5.89167,149.145,23
P607,4.11838,17.0943,155.156,18
P608,-1.7497,25.2478,157.178,20
P609,-10.3582,30.65,156.255,33
P610,-19.8898,32.0092,152.767,-163
P611,6.91929,5.95276,148.896,26
P612,3.40282,17.0589,154.689,19
P613,-2.86158,24.9868,156.552,20
P614,-11.6019,30.2631,155.66,34
P615,-21.1691,31.8744,152.268,-168
P616,9.12648,6.16403,149.037,28
P617,5.66623,16.7571,155.751,21
P618,-0.744461,24.3516,158.239,21
P619,-9.67966,29.3036,157.64,-10000
P620,-19.2545,30.7356,154.209,-167
P621,6.19629,3.137,149.611,27
P622,3.75666,13.4634,157.188,19
P623,-1.73797,21.4319,160.657,19
P624,-9.94872,27.5406,161.032,-10000
P625,-19.303,30.5179,158.101,32
P626,6.03544,4.96813,149.297,28
P627,3.15993,15.5934,156.255,21
P628,-2.73354,23.5026,159.135,21
P629,-11.3193,29.1269,159.278,-10000
P630,-21.024,31.4875,156.788,39
P631,5.85366,5.56876,148.614,26
P632,-2.81642,24.3251,158.059,19
P633,-11.4207,29.8842,157.983,-10000
P634,-21.0972,31.9232,155.211,36
P635,6.52974,6.91144,148.252,27
P636,3.4445,17.2336,155.599,19
P637,-2.52596,24.9334,158.853,20
P638,-11.1978,30.3484,159.074,-10000
P639,-20.847,32.3086,156.201,38
P640,7.60858,4.27304,148.197,27
P641,5.1876,14.472,155.93,18
P642,-0.500743,22.2909,159.268,18
P643,-9.12347,27.7433,159.31,-10000
P644,-18.7622,29.6248,156.341,31
P645,5.67842,6.43384,148.356,28
P646,2.91192,16.9736,155.511,21
P647,-2.75547,24.9418,158.724,22
P648,-11.1546,30.7859,159.093,-10000
P649,-20.7822,33.1296,156.512,34
P650,7.18613,7.40892,148.081,29
P651,4.05812,17.9827,155.001,22
P652,-2.03631,25.7268,157.915,23
P653,-10.7373,31.1593,157.948,-10000
P654,-20.4319,33.2918,155.247,36
P655,8.13711,4.14811,148.463,28
P656,5.7396,14.4933,155.994,19
P657,0.108009,22.3976,159.314,19
P658,-8.39528,28.0794,159.627,-10000
P659,-18.0606,30.3415,157.023,31
P660,4.57133,2.12431,147.607,27
P661,2.32756,12.3743,155.309,19
P662,-2.96646,20.5488,158.568,19
P663,-11.0512,26.8298,158.695,-10000
P664,-20.4688,29.7796,155.889,30
P665,4.46476,3.99428,146.025,26
P666,2.07912,13.9171,154.093,17
P667,-3.61584,21.6195,157.72,17
P668,-12.15,27.2242,158.007,-10000
